epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,12379,0.58365,0.76365,0.8523,0.92517,0.3595,0.4522,0.38701,0.64061,0.77039,0.83987,0.000400225,0.000400225,0.000400225
56,12657.3,0.58322,0.68991,0.86113,0.91348,0.43688,0.52631,0.43516,0.72271,0.84478,0.85759,0.000396062,0.000396062,0.000396062
57,12940.2,0.61572,0.72893,0.8626,0.966,0.28184,0.39717,0.34686,0.60611,0.78827,0.83367,0.0003919,0.0003919,0.0003919
58,13210.4,0.59314,0.72225,0.85857,0.92138,0.23595,0.35346,0.3036,0.67523,0.75284,0.84661,0.000387738,0.000387738,0.000387738
59,13443.3,0.57646,0.71118,0.85552,0.95811,0.3739,0.46862,0.38239,0.73372,0.77839,0.85717,0.000383575,0.000383575,0.000383575
60,13685.3,0.57719,0.72386,0.85954,0.95726,0.87356,0.92927,0.78375,0.67683,0.7473,0.84464,0.000379413,0.000379413,0.000379413
61,13919.8,0.59856,0.73229,0.85619,0.93943,0.20267,0.30995,0.27095,0.61614,0.72906,0.83348,0.00037525,0.00037525,0.00037525
62,14171,0.56955,0.70095,0.85068,0.96855,0.3424,0.4453,0.37844,0.65814,0.72921,0.84038,0.000371087,0.000371087,0.000371087
63,14395,0.55799,0.6732,0.8501,0.9659,0.46908,0.56008,0.46143,0.72104,0.76405,0.85642,0.000366925,0.000366925,0.000366925
64,14622.1,0.56676,0.69199,0.85255,0.96744,0.57719,0.64589,0.5516,0.62171,0.72496,0.83523,0.000362763,0.000362763,0.000362763
65,14855.9,0.55765,0.69868,0.85129,0.93891,0.42587,0.51788,0.44488,0.6046,0.73454,0.83125,0.0003586,0.0003586,0.0003586
66,15115.5,0.59596,0.74029,0.8618,0.93703,0.30082,0.39917,0.33414,0.6824,0.76429,0.84699,0.000354437,0.000354437,0.000354437
67,15396.7,0.56457,0.68187,0.85308,0.93235,0.30182,0.39634,0.33113,0.7052,0.7989,0.85305,0.000350275,0.000350275,0.000350275
68,15578.7,0.56633,0.67322,0.84341,0.95185,0.59871,0.6713,0.56398,0.67781,0.80008,0.84613,0.000346113,0.000346113,0.000346113
69,15879,0.56525,0.69475,0.85089,0.90999,0.32432,0.42193,0.36225,0.63811,0.74661,0.83835,0.00034195,0.00034195,0.00034195
70,16191,0.54354,0.66708,0.84857,0.95091,0.53187,0.60977,0.52804,0.58858,0.72963,0.82944,0.000337788,0.000337788,0.000337788
71,16435.7,0.5584,0.68703,0.84736,0.95083,0.39062,0.49735,0.43014,0.60579,0.69416,0.83295,0.000333625,0.000333625,0.000333625
72,16749.4,0.56174,0.70995,0.85097,0.96173,0.73952,0.79281,0.66488,0.68547,0.7182,0.84811,0.000329462,0.000329462,0.000329462
73,17007.4,0.54683,0.67391,0.85421,0.94634,0.30321,0.40743,0.34488,0.67429,0.73186,0.84597,0.0003253,0.0003253,0.0003253
74,17214.5,0.53459,0.66076,0.84609,0.92449,0.37535,0.47334,0.40724,0.61819,0.75367,0.83652,0.000321137,0.000321137,0.000321137
75,17542.6,0.54339,0.67155,0.85215,0.93594,0.28542,0.40466,0.34872,0.62873,0.76667,0.83536,0.000316975,0.000316975,0.000316975
76,17827.6,0.5441,0.66572,0.85111,0.96255,0.37906,0.47682,0.39659,0.6962,0.73794,0.85179,0.000312812,0.000312812,0.000312812
77,18155.9,0.54399,0.66626,0.8532,0.93575,0.37743,0.47541,0.40455,0.65414,0.79242,0.83939,0.00030865,0.00030865,0.00030865
78,18491.9,0.55266,0.69352,0.85689,0.9456,0.36766,0.46532,0.40596,0.59802,0.7219,0.82929,0.000304487,0.000304487,0.000304487
79,18805.7,0.54954,0.65,0.84633,0.92045,0.36396,0.46622,0.40644,0.59527,0.72612,0.82928,0.000300325,0.000300325,0.000300325
80,19044.1,0.53381,0.66218,0.84231,0.95347,0.78096,0.84325,0.72614,0.60962,0.73879,0.83125,0.000296163,0.000296163,0.000296163
81,19297.6,0.55015,0.65865,0.85156,0.95163,0.23429,0.34299,0.30452,0.59535,0.70454,0.82986,0.000292,0.000292,0.000292
82,19589.8,0.51708,0.62016,0.84881,0.96561,0.42526,0.51848,0.44834,0.61064,0.6738,0.83314,0.000287837,0.000287837,0.000287837
83,20183.8,0.52363,0.60902,0.84745,0.95464,0.4638,0.55918,0.4846,0.60896,0.69749,0.83211,0.000283675,0.000283675,0.000283675
84,20464.2,0.53802,0.64963,0.8489,0.93931,0.57064,0.64594,0.55134,0.6214,0.74221,0.83729,0.000279512,0.000279512,0.000279512
85,20740.8,0.52902,0.62523,0.84581,0.95408,0.4052,0.50766,0.43577,0.62248,0.71152,0.83658,0.00027535,0.00027535,0.00027535
86,21019,0.54316,0.63458,0.84152,0.93728,0.30422,0.41863,0.36155,0.6023,0.71523,0.8323,0.000271187,0.000271187,0.000271187
